backside,ひっぷ
FOMA,ふぉーま
formatter,ふぉーまった
formatting,ふぉーまってぃんぐ
format,ふぉーまっと
formatting,ふぉーまてぃんぐ
formalism,ふぉーまりずむ
formal,ふぉーまる
formal wear,ふぉーまるうぇあ
formal wear,ふぉーまるうえあ
formal dress,ふぉーまるどれす
formula,ふぉーみゅら
formula car,ふぉーみゅらかー
formula plan,ふぉーみゅらぷらん
foam,ふぉーむ
form,ふぉーむ
form stacker,ふぉーむすたっかー
form factor,ふぉーむふぁくた
form-feed (character),ふぉーむふぃーど
FF,ふぉーむふぃーど
foam rubber,ふぉーむらばー
formation,ふぉーめーしょん
forum,ふぉーらむ
seeking a venue (usu. for litigation) (和製: forum shopping),ふぉーらむ・しょっぴんぐ
seeking a venue (usu. for litigation) (和製: forum shopping),ふぉーらむしょっぴんぐ
forum discussion,ふぉーらむでぃすかっしょん
follies,ふぉーりーず
fall,ふぉーる
fallout (atomic, radioactive, etc.),ふぉーるあうと
fall-out,ふぉーるあうと
fall out,ふぉーるあうと
folding door,ふぉーるでぃんぐどあ
folding knife,ふぉーるでぃんぐないふ
fault,ふぉーると
fault-tolerance,ふぉーるととれらんす
fault-tolerant,ふぉーるととれらんと
fallback,ふぉーるばっく
fall-back,ふぉーるばっく
fallback facility,ふぉーるばっくきのう
fall line,ふぉーるらいん
phone,ふぉーん
fog,ふぉぐ
fog lamp,ふぉぐらんぷ
forget-me-not,ふぉげっとみーのっと
phosgene (ger: Phosgen),ふぉすげん
carbonyl chloride,ふぉすげん
foster child,ふぉすたーちゃいるど
foster parent,ふぉすたーぺあれんと
phosphatase,ふぉすふぁたーぜ
phosphorylase,ふぉすふぉりらーぜ
fox,ふぉっくす
fox terrier,ふぉっくすてりあ
fox-trot,ふぉっくすとろっと
foxtrot,ふぉっくすとろっと
foxhound,ふぉっくすはうんど
fox face,ふぉっくすふぇいす
fog light,ふぉっぐらいと
fog lamp,ふぉっぐらんぷ
fossa magna,ふぉっさまぐな
photo,ふぉと
Fodor,ふぉどー
photocoupler,ふぉとかっぷら
photocoupler,ふぉとかっぷらー
photocoupler,ふぉとかぷらー
photogravure,ふぉとぐらびあ
photograph,ふぉとぐらふ
photographer,ふぉとぐらふぁー
photography,ふぉとぐらふぃ
photography,ふぉとぐらふぃー
photochromic,ふぉとくろみっく
photochromic glass,ふぉとくろみっくがらす
ugly man,ぶおとこ
photo CD,ふぉとしーでぃー
PhotoCD,ふぉとしーでぃー
photogenie,ふぉとじぇにー
photogenic,ふぉとじぇにっく
photojournalist,ふぉとじゃーなりすと
photojournalism,ふぉとじゃーなりずむ
photo studio,ふぉとすたじお
photo stamp,ふぉとすたんぷ
photo story,ふぉとすとーりー
photocell,ふぉとせる
photodiode,ふぉとだいおーど
phototransistor,ふぉととらんじすた
phototransistor,ふぉととらんじすたー
photofabrication,ふぉとふぁぶりけーしょん
photo brush,ふぉとぶらし
photoplay,ふぉとぷれー
picture frame (with stand),ふぉとふれーむ
photoplayer,ふぉとぷれーやー
photomask,ふぉとますく
photomontage,ふぉともんたーじゅ
photo library,ふぉとらいぶらりー
photo realistic,ふぉとりありすてぃっく
photo realism,ふぉとりありずむ
photoresist,ふぉとれじすと
photo retouching,ふぉとれたっち
photo-retouching software,ふぉとれたっちそふと
photon,ふぉとん
photon factory,ふぉとんふぁくとりー
phoneme,ふぉにーむ
phoneme,ふぉねーむ
phonetics,ふぉねてぃっくす
phonograph,ふぉのぐらふ
phonolite,ふぉのらいと
phonology,ふぉのろじー
phonon,ふぉのん
fob pocket,ふぉぶぽけっと
folio,ふぉりお
foreigner,ふぉりなー
forint,ふぉりんと
fallout (atomic, radioactive, etc.),ふぉるあうと
fall-out,ふぉるあうと
fall out,ふぉるあうと
Volkswagen,ふぉるくすわーげん
VW,ふぉるくすわーげん
folklore,ふぉるくろーれ
folder,ふぉるだ
folder,ふぉるだー
forte,ふぉるて
fortissimo,ふぉるてぃっしも
fortepiano,ふぉるてぴあの
fault,ふぉると
formalism,ふぉるまりずむ
formalin,ふぉるまりん
formant,ふぉるまんと
forum,ふぉるむ
formaldehyde,ふぉるむあるでひど
methanal,ふぉるむあるでひど
forest,ふぉれすと
follow,ふぉろう
followup (e.g. netnews),ふぉろう
backing-up,ふぉろう
covering for,ふぉろう
follow,ふぉろー
followup (e.g. netnews),ふぉろー
backing-up,ふぉろー
covering for,ふぉろー
follow-up,ふぉろーあっぷ
follow wind,ふぉろーういんど
follow-through,ふぉろーするー
follow pan,ふぉろーぱん
forwarding,ふぉわーでぃんぐ
forward (in a ball game),ふぉわーど
forward pass,ふぉわーどぱす
forward link,ふぉわーどりんく
foie gras,ふぉわぐら
phone,ふぉん
phone conference,ふぉんこんふぁれんす
Phong shading,ふぉんしぇーでぃんぐ
fondant,ふぉんだん
fondue,ふぉんでゅ
fondue,ふぉんでゅー
font,ふぉんと
font editor,ふぉんとえでぃた
font size,ふぉんとさいず
font reference,ふぉんとさんしょう
font resource,ふぉんとしげん
font size,ふぉんとすんぽう
font metrics,ふぉんとはいちりょう
font file,ふぉんとふぁいる
font family,ふぉんとふぁみり
font program,ふぉんとぷろぐらむ
font metric,ふぉんとめとりっく
fugato,ふがーと
fib,ふかし
exaggeration (of the truth),ふかし
snow job,ふかし
bucatini,ぶかてぃーに
shark fin,ふかひれ
sound of someone smoking,ぷかぷか
sound of something floating,ぷかぷか
boogie,ぶぎ
boogie,ぶぎー
bogeyman,ぶぎーまん
boogeyman,ぶぎーまん
bogyman,ぶぎーまん
boogieman,ぶぎーまん
boogie-woogie,ぶぎうぎ
Bugis (people),ぶぎすぞく
puffer fish,ふぐ
blow fish,ふぐ
fugu,ふぐ
globefish,ふぐ
swellfish,ふぐ
one hit,ぷくいち
one drink,ぷくいち
one toke,ぷくいち
one hit,ぷくいち
one drink,ぷくいち
one toke,ぷくいち
fugu poison,ふぐどく
numbat (Myrmecophaga tridactyla),ふくろありくい
banded anteater,ふくろありくい
owl (esp. the Ural owl, Strix uralensis),ふくろう
kakapo (Strigops habroptila),ふくろうおうむ
owl parrot,ふくろうおうむ
Tasmanian tiger (Thylacinus cynocephalus),ふくろおおかみ
thylacine,ふくろおおかみ
Tasmanian wolf,ふくろおおかみ
koala (Phascolarctos cinereus),ふくろぐま
sac spider (any spider of family Clubionidae),ふくろぐも
Atypus karschi (Asian species of mygalomorph spider),ふくろぐも
paddy straw mushroom,ふくろたけ
straw mushroom,ふくろたけ
Volvariella volvacea,ふくろたけ
siamang (species of gibbon, Symphalangus syndactylus),ふくろてながざる
sugar glider (species of flying phalanger, Petaurus breviceps),ふくろももんが
fughetta,ふげった
fucoxanthin,ふこきさんちん
buzzer,ぶざー
Hussein-McMahon agreement,ふさいんまくまほんきょうてい
brown capuchin,ふさおまきざる
tufted capuchin (Cebus apella),ふさおまきざる
ugly and creepy (combination of the words busaiku and kimoi),ぶさきも
cultivated currant (Ribes altissimum),ふさすぐり
unattractive, uncouth man,ぶさめん
whorl-leaf water milfoil (Myriophyllum verticillatum),ふさも
Fuji,ふじ
Fuji thistle,ふじあざみ
Cirsium purpuratum,ふじあざみ
Japanese butterfly bush (species of buddleia, Buddleja japonica),ふじうつぎ
object class,ぶじぇくとくらす
acorn barnacle (Balanomorpha spp.),ふじつぼ
Fuji-TV,ふじてれび
Holothuria decorata (species of sea cucumber),ふじなまこ
thoroughwort,ふじばかま
Eupatorium fortunei (species of boneset),ふじばかま
Eupatorium japonicum,ふじばかま
Przewalski's horse,ぷしばるすきーうま
hyacinth bean (Lablab purpureus),ふじまめ
Buddha's hand,ぶしゅかん
fingered citron (Citrus medica sarcodactylus),ぶしゅかん
psilophyte (in palaeobotany) (lat: psilophyton),ぷしろふぃとん
homely woman,ぶす
plain-looking woman,ぶす
bouzouki,ぶずーき
attraction to ugly people,ぶすせん
Fougere fragrance (family of scents including coumarin, oak moss, lavender, and geranium oil, used in perfumes),ふぜあちょう
Hussein-McMahon agreement,ふせいんまくまほんきょうてい
pseudoephidrene,ぷそいどえふぇどりん
butadiene,ぶたじえん
butadiene rubber,ぶたじえんごむ
cat's-ear (Hypochoeris radicata),ぶたな
false dandelion,ぶたな
butanol,ぶたのーる
Asarum caulescens (species of wild ginger),ふたばあおい
dipterocarp (any plant of genus Dipterocarpus),ふたばがき
Budapest,ぶたぺすと
two-toed sloth,ふたゆびなまけもの
phthalic acid,ふたるさん
phthalate ester,ふたるさんえすてる
phthalein,ふたれいん
phthalocyanine,ふたろしあにん
butane,ぶたん
small (fre: petit),ぷち
inexpensive fashion accessories (e.g. clothes, makeup, etc.) (word used by young women) (和製: petite price),ぷち・ぷらいす
ptyalin,ぷちありん
livid,ぶちきれ
livid,ぶちきれ
livid,ぶちぎれ
livid,ぶちぎれ
getting irked,ぷちぎれ
looking a little ticked off,ぷちぎれ
getting irked,ぷちぎれ
looking a little ticked off,ぷちぎれ
to be enraged,ぶちきれる
to flip out,ぶちきれる
to be enraged,ぶちぎれる
to flip out,ぶちぎれる
to kill by hitting,ぶちころす
to destroy,ぶちこわす
to spoil,ぶちこわす
to crush,ぶちこわす
to break by striking,ぶちこわす
to wreck,ぶちこわす
buchi salamander (Hynobius naevius),ぶちさんしょううお
with a snap,ぷちっ
with a click (beep),ぷちっ
shortly,ぷちっ
briefly,ぷちっ
small,ぷちっ
with a snap,ぷちっ
with a click (beep),ぷちっ
shortly,ぷちっ
briefly,ぷちっ
small,ぷちっ
cherry tomato,ぷちとまと
petit four,ぷちふーる
bubble wrap (trademark of Kawakami Sangyo Co.),ぷちぷち
popping bubble-wrap (e.g. for fun or as a stress relief technique),ぷちぷちつぶし
popping bubble-wrap (e.g. for fun or as a stress relief technique),ぷちぷちをつぶし
inexpensive fashion accessories (e.g. clothes, makeup, etc.) (word used by young women),ぷちぷら
inexpensive fashion accessories (e.g. clothes, makeup, etc.) (word used by young women) (和製: petite price),ぷちぷらいす
petit bourgeois,ぷちぶる
petit bourgeois,ぷちぶるじょあ
butyl alcohol,ぶちるあるこーる
butyl group,ぶちるき
butylene,ぶちれん
listeners' corner (portion of radio programming for correspondence from listeners),ふつおた
fluoridation,ふっか
hooker,ふっかー
booker,ぶっかー
calcium fluoride (CaF2),ふっかかるしうむ
hydrogen fluoride,ふっかすいそ
HF,ふっかすいそ
hydrofluoric acid,ふっかすいそさん
fluoride,ふっかぶつ
bookie,ぶっきー
bookish,ぶっきっしゅ
hooking,ふっきんぐ
booking,ぶっきんぐ
hook,ふっく
book,ぶっく
bookend,ぶっくえんど
dust jacket,ぶっくかばー
book cover,ぶっくかばー
bookkeeping,ぶっくきーぴんぐ
book club,ぶっくくらぶ
bookcase,ぶっくけーす
bookstore,ぶっくすとー
book strap,ぶっくすとらっぷ
book detection system,ぶっくでぃてくしょんしすてむ
Hooke's law,ふっくのほうそく
book-band,ぶっくばんど
hook bowl,ふっくぼーる
bookmark,ぶっくまーく
book mart,ぶっくまーと
bookmaker,ぶっくめーかー
mobile library,ぶっくもびる
bookmobile (USA),ぶっくもびる
hook line,ふっくらいん
booklist,ぶっくりすと
bookmark file,ぶっくりすと
booklet,ぶっくれっと
book review,ぶっくれびゅー
thrusting into,ぶっこみ
a put-down,ぶっこみ
bottom fishing,ぶっこみ
legering,ぶっこみ
bottom fishing,ぶっこみづり
legering,ぶっこみづり
pussy,ぷっしー
bushel,ぶっしぇる
bush,ぶっしゅ
push,ぷっしゅ
Bush Doctrine (American foreign policy guidelines allowing preemptive war, unilateral action, etc.),ぶっしゅ・どくとりん
push-up,ぷっしゅあっぷ
push cart,ぷっしゅかーと
Buddha's hand,ぶっしゅかん
fingered citron (Citrus medica sarcodactylus),ぶっしゅかん
push technology,ぷっしゅぎじゅつ
push technology,ぷっしゅてくのろじー
Bush Doctrine (American foreign policy guidelines allowing preemptive war, unilateral action, etc.),ぶっしゅどくとりん
push bunt,ぷっしゅばんと
push-pull,ぷっしゅぷる
push-pull amplifier,ぷっしゅぷるぞうふくき
bush baby,ぶっしゅべびー
push button,ぷっしゅぼたん
push-button telephone (和製: push phone),ぷっしゅほん
bushman,ぶっしゅまん
push lock,ぷっしゅろっく
pushrod,ぷっしゅろっど
bushing,ぶっしんぐ
pushing,ぷっしんぐ
bouche,ぶっせ
filled biscuit or bun,ぶっせ
fluorine (F),ふっそ
fluorine (F),ふっそ
footer,ふった
footer (e.g. of a file),ふったー
Puccini,ぷっちーに
butcher,ぶっちゃー
weird,ぷっつん
crazy,ぷっつん
losing common sense,ぷっつん
snapping,ぷっつん
sound of a stretched string snapping,ぷっつん
actress that frequently does bizarre things,ぷっつんじょゆう
Buddhist,ぶっでぃすと
foot,ふっと
put (e.g. a put option),ぷっと
put option,ぷっとおぷしょん
indoor 5-man football (spa: futsal, abbr. offutbol de salon),ふっとさる
footnote,ふっとのーと
foot fault,ふっとふぉーると
footprint,ふっとぷりんと
foot brake,ふっとぶれーき
football,ふっとぼーる
foot pocket portion of a diving fin,ふっとぽけっと
footman,ふっとまん
footlights,ふっとらいと
limelight,ふっとらいと
to appear on the stage,ふっとらいとをあびる
to be in the limelight,ふっとらいとをあびる
buddleia (esp. the butterfly bush, Buddleja davidii),ぶっどれあ
footrest,ふっとれすと
footwork,ふっとわーく
to fire a gun,ぶっぱなす
to let off a gun,ぶっぱなす
to loose off a shell,ぶっぱなす
buh-boo (from sound of 'wrong' buzzer in quiz shows, used when somebody says an incorrect answer),ぶっぶー
buffet,ぶっふぇ
normal, average looking guy,ふつめん
floppy disk,ふっろぴーでぃすく
shop selling fashion clothes, accessories, etc. (fre: boutique),ぶてぃっく
love hotel (和製: boutique hotel),ぶてぃっくほてる
pudding,ぷでぃんぐ
Pteranodon,ぷてらのどん
softstem bulrush (Scirpus tabernaemontani),ふとい
staphylococcus,ぶどうきゅうきん
staphylococcus,ぶどうきゅうきん
wine,ぶどうしゅ
grape sugar,ぶどうとう
glucose,ぶどうとう
dextrose,ぶどうとう
uvea,ぶどうまく
ptomaine,ぷとまいん
thigh,ふともも
buttocks,ふともも
arse,ふともも
ass,ふともも
butt,ふともも
the order Myrtales (plant),ふともももく
Ptolemy,ぷとれまいおすせいざ
Ptolemaic Dynasty,ぷとれまいおすちょう
beech,ぶな
fagus crenata,ぶな
Fagaceae (plant family),ぶなか
beech,ぶなか
shipworm (esp. naval shipworm, Teredo navalis),ふなくいむし
teredo,ふなくいむし
wharf roach (species of isopod closely related to the sea slater; Ligia exotica),ふなむし
winged argonaut (species of paper nautilus, Argonauta hians),ふねだこ
squealing (e.g. of small pigs),ぶひぶひ
oinking,ぶひぶひ
giggling sound,ふふ
laugh,ふふ
ha ha,ふふ
Buchner funnel,ぶふなーろうと
fumaric acid,ふまるさん
hummus (chickpea-based paste),ふむす
hommus,ふむす
humus,ふむす
black fly (any insect of family Simuliidae),ぶゆ
gnat,ぶゆ
cluster mallow (Malva verticillata),ふゆあおい
Rubus buergeri (species of raspberry),ふゆいちご
view,ぶゅー
fuel,ふゅーえる
fuel gauge,ふゅーえるげーじ
fugue,ふゅーぐ
fusion,ふゅーじょん
fuse,ふゅーず
feudalism,ふゅーだりずむ
future,ふゅーちゃー
futurism,ふゅーちゅりずむ
funeral march,ふゅーならるまーち
funeral march,ふゅーねらるまーち
viewpoint,ぶゅーぽいんと
fuhrer (ger: Fuhrer),ふゅーらー
fuehrer,ふゅーらー
leader,ふゅーらー
fuel,ふゅえる
funeral march,ふゅねらるまーち
cotton rose (Hibiscus mutabilis),ふよう
Confederate rose,ふよう
dixie rosemallow,ふよう
lotus blossom,ふよう
bra,ぶら
hurrah,ふらー
Prague,ぷらーぐ
plaza,ぷらーざ
plage,ぷらーじゅ
Brahmi script,ぶらーふみーもじ
Brahman (priest of Hinduism, members of the highest caste) (san: brahmana),ぶらーまん
Brahmanism,ぶらーまん
priest of Brahmanism,ぶらーまん
Brahms,ぶらーむす
fullerene,ふらーれん
fried seafood or vegetables in general (fry),ふらい
fly,ふらい
brier (Erica arborea),ぶらいあー
briar,ぶらいあー
fly out,ふらいあうと
flying buttress,ふらいいんぐばっとれす
privacy,ぷらいヴぁしー
plywood,ぷらいうっど
priori,ぷらいおり
priority,ぷらいおりてぃ
priority,ぷらいおりてぃー
priority queue system,ぷらいおりてぃきゅーしすてむ
spatula,ふらいがえし
fly casting,ふらいきゃすちんぐ
fly gallery,ふらいぎゃらりー
fly-weight (boxer),ふらいきゅう
flysheet,ふらいしーと
milling cutter (fre: fraise),ふらいす
flies,ふらいず
price,ぷらいす
reduction in price (和製: price down),ぷらいすだうん
discount,ぷらいすだうん
price taker,ぷらいすてーかー
milling machine (fre: fraise),ふらいすばん
prize money,ぷらいずまねー
bridesmaid,ぶらいずめいど
price maker,ぷらいすめーかー
price leader,ぷらいすりーだー
price leadership,ぷらいすりーだーしっぷ
bridal,ぶらいだる
wedding industry,ぶらいだるさんぎょう
bridal bouquet,ぶらいだるぶーけ
bridal veil,ぶらいだるべーる
bridal market,ぶらいだるまーけっと
Friday,ふらいでー
flight,ふらいと
fright,ふらいと
fried,ふらいど
bride,ぶらいど
pride,ぷらいど
flight attendant,ふらいとあてんだんと
Bright's movement (movement comprised of naturalists, atheists, agnostics, etc.),ぶらいとうんどう
fried eggs,ふらいどえっぐ
flight engineer,ふらいとえんじにあ
flight control,ふらいとこんとろーる
flight simulator,ふらいとしみゅれーた
fried chicken,ふらいどちきん
flight data recorder,ふらいとでーたれこーだー
flight test,ふらいとてすと
flight-number,ふらいとなんばー
brightness,ぶらいとねす
flight bag,ふらいとばっぐ
Bright's disease (i.e. chronic nephritis),ぶらいとびょう
fried potato,ふらいどぽてと
French fries,ふらいどぽてと
chips,ふらいどぽてと
flight recorder,ふらいとれこーだー
fly-by-wire,ふらいばいわいやー
privacy,ぷらいばし
privacy,ぷらいばしい
privacy,ぷらいばしー
privacy protection,ぷらいばしーほご
privacy protection,ぷらいばしほご
fry pan,ふらいぱん
frying pan,ふらいぱん
fly-fishing,ふらいふぃっしんぐ
private,ぷらいべーと
private IP address,ぷらいべーとあいぴーあどれす
private address,ぷらいべーとあどれす
private offering,ぷらいべーとおふぁーりんぐ
PO,ぷらいべーとおふぁーりんぐ
private brand,ぷらいべーとぶらんど
private room,ぷらいべーとるーむ
flywheel,ふらいほいいる
flywheel,ふらいほいーる
fried potato,ふらいぽてと
French fries,ふらいぽてと
chips,ふらいぽてと
primer,ぷらいまー
primary,ぷらいまり
primary,ぷらいまりー
primary care,ぷらいまりーけあ
primary school,ぷらいまりーすくーる
primary balance,ぷらいまりーばらんす
primary health care,ぷらいまりーへるすけあ
primary cache,ぷらいまりきゃっしゅ
primary site,ぷらいまりさいと
primary DNS server,ぷらいまりでぃーえんえすさーば
primary disk,ぷらいまりでぃすく
primary master,ぷらいまりますた
primary ring,ぷらいまりりんぐ
primal,ぷらいまる
priming,ぷらいみんぐ
prime,ぷらいむ
prime time,ぷらいむたいむ
prime (lending) rate,ぷらいむれーと
flier,ふらいやー
flyer,ふらいやー
fryer,ふらいやー
frier,ふらいやー
brier (Erica arborea),ぶらいやー
briar,ぶらいやー
pliers,ぷらいやー
flying,ふらいんぐ
false start,ふらいんぐ
frying,ふらいんぐ
obtaining items such as books, CDs and DVDs before the date they officially go on sale (和製: flying get),ふらいんぐげっと
premature start (和製: flying start),ふらいんぐすたーと
false start,ふらいんぐすたーと
flying tackle,ふらいんぐたっくる
flying disc,ふらいんぐでぃすく
flying buttress,ふらいんぐばっとれす
brine shrimp (Artemia salina),ぶらいんしゅりんぷ
blind,ぶらいんど
blind side,ぶらいんどさいど
touch typing (和製: blind touch),ぶらいんどたっち
blind date,ぶらいんどでーと
blind test,ぶらいんどてすと
blind input,ぶらいんどにゅうりょく
woman (ger: Frau),ふらう
plough,ぷらう
plow,ぷらう
browser,ぶらうざ
browser,ぶらうざー
browser crasher,ぶらうざくらっしゃー
browser crusher,ぶらうざくらっしゃー
browser war,ぶらうざせんそう
browser helper object,ぶらうざへるぱーおぶじぇくと
browsing,ぶらうじんぐ
browsing tool,ぶらうじんぐつーる
blouse,ぶらうす
browse,ぶらうず
browsing,ぶらうず
Pravda,ぷらうだ
brown,ぶらうん
Brownian motion,ぶらうんうんどう
cathode-ray tube,ぶらうんかん
CRT,ぶらうんかん
Braun tube,ぶらうんかん
brown sugar,ぶらうんしゅがー
flounce,ふらうんす
Brown Swiss (variety of dairy cattle),ぶらうんすいす
brown sauce,ぶらうんそーす
brown trout (Salmo trutta, esp. Salmo trutta fario),ぶらうんとらうと
Fraunhofer lines,ふらうんほーふぁーせん
placard,ぷらかーど
bra cup,ぶらかっぷ
brachiosaurus,ぶらきおさうるす
brachiosaur,ぶらきおさうるす
flag,ふらぐ
plug,ぷらぐ
connector,ぷらぐ
plug and play,ぷらぐあんどぷれい
plug and play BIOS,ぷらぐあんどぷれいばいおす
plug and play,ぷらぐあんどぷれー
plug-in (software),ぷらぐいん
plugin,ぷらぐいん
plug and jack,ぷらぐおよびじゃっく
to have a flag set (indicates the setting of a variable that determines, for example, how a game will end),ふらぐがたつ
plug-compatible,ぷらぐごかん
plug compatible,ぷらぐこんぱちぶる
flag sequence,ふらぐしーけんす
fractional,ふらくしょなる
fraction,ふらくしょん
fraction activity,ふらくしょんかつどう
fractal,ふらくたる
fractal compression,ふらくたるあっしゅく
fractal theory,ふらくたるりろん
practical,ぷらくてぃかる
practice,ぷらくてぃす
practise,ぷらくてぃす
pragmatist,ぷらぐまちすと
pragmatism,ぷらぐまちずむ
pragmatic,ぷらぐまちっく
pragmatist,ぷらぐまてぃすと
pragmatism,ぷらぐまてぃずむ
pragmatic,ぷらぐまてぃっく
pragmatics,ぷらぐまてぃっくす
fragmentation,ふらぐめんてーしょん
fragment,ふらぐめんと
browser crasher,ぶらくら
flag register,ふらぐれじすた
obtaining items such as books, CDs and DVDs before the date they officially go on sale (和製: flying get),ふらげ
bracket,ぶらけっと
placket,ぷらけっと
bracket creep,ぶらけっとくりーぷ
brother complex,ぶらこん
unnatural attachment to one's brother,ぶらこん
plug compatible,ぷらこん
plaza,ぷらざ
brother (usu. in names of films, companies, etc.),ぶらざー
brothers (usu. in company, etc. names),ぶらざーず
Plaza agreement (1985 agreement of G5 nations),ぷらざごうい
brush,ぶらし
brushy,ぶらし
placebo,ぷらしーぼ
fradiomycin,ふらじおまいしん
gray bottlebrush (Callistemon speciosus),ぶらしのき
grey bottlebrush,ぶらしのき
gray bottlebrush (Callistemon speciosus),ぶらしのき
grey bottlebrush,ぶらしのき
bra,ぶらじゃー
brassiere,ぶらじゃー
flageolet,ふらじょれっと
Brazil,ぶらじる
Brazil nut (Bertholletia excelsa),ぶらじるなっつ
brass,ぶらす
plus,ぷらす
a little more than usual (和製: plus alpha),ぷらすあるふぁ
bribe money added to a regular fee,ぷらすあるふぁ
and then some,ぷらすあるふぁ
extras (和製: plus on),ぷらすおん
addition,ぷらすおん
supplement,ぷらすおん
fresco (technique of blending wet plaster with water based paint),ふらすこ
flask (por: frasco),ふらすこ
positive thought,ぷらすしこう
plaster,ぷらすた
plaster,ぷらすたー
plasterboard,ぷらすたーぼーど
plastic,ぷらすちっく
(made of) plastic,ぷらすちっくせい
plastic tile,ぷらすちっくたいる
plastic explosive,ぷらすちっくばくだん
plastic optical fiber,ぷらすちっくひかりふぁいば
plastic money,ぷらすちっくまねー
plastic model,ぷらすちっくもでる
plastid,ぷらすちど
plasticity,ぷらすてぃしてぃ
plastic,ぷらすてぃっく
plastination,ぷらすてぃねーしょん
plastomer,ぷらすとまー
Phillips head screwdriver (和製: plus driver, i.e. + driver),ぷらすどらいば
Phillips head screwdriver (和製: plus driver, i.e. + driver),ぷらすどらいばー
frustration,ふらすとれーしょん
brass band,ぶらすばんど
plasma,ぷらずま
plus-minus,ぷらすまいなす
+-,ぷらすまいなす
plasma cell,ぷらずまさいぼう
plasmagene,ぷらずまじーん
plasma display,ぷらずまでぃすぷれい
plasma display panel,ぷらずまでぃすぷれいぱねる
PDP,ぷらずまでぃすぷれいぱねる
plasma display,ぷらずまでぃすぷれー
plasma emission spectrography,ぷらずまはっこうぶんこうほう
plasma panel,ぷらずまぱねる
gas panel,ぷらずまぱねる
plasmapheresis,ぷらずまふぇれーしす
plasmid,ぷらすみど
plasmin (ger: Plasmin),ぷらすみん
plasmodium,ぷらすもでぃうむ
plasmon (quasiparticle resulting from the quantization of plasma oscillations),ぷらずもん
plasmon resonance,ぷらずもんきょうめい
brasserie,ぶらすりー
brass rock,ぶらすろっく
praseodymium (Pr) (ger: Praseodym),ぷらせおじむ
placebo,ぷらせぼ
plane tree (any tree of genus Platanus) (lat: platanus),ぷらたなす
hula dance,ふらだんす
Bratislava,ぶらちすらば
platinum (spa: platina),ぷらちな
platinum blonde,ぷらちなぶろんど
platina paper,ぷらちなぺーぱー
flag,ふらっぐ
black,ぶらっく
blackout,ぶらっくあうと
Black Africa,ぶらっくあふりか
flag carrier,ふらっぐきゃりあ
obtaining items such as books, CDs and DVDs before the date they officially go on sale (和製: flying get),ふらっぐげっと
black ghetto,ぶらっくげっとー
black coffee,ぶらっくこーひー
black comedy,ぶらっくこめでぃー
black contemporary,ぶらっくこんてんぽらりー
black journalism,ぶらっくじゃーなりずむ
blackjack,ぶらっくじゃっく
black shaft,ぶらっくしゃふと
flux (substance mixed with a solid in order to lower the its melting point),ふらっくす
fising agent,ふらっくす
black spirituals,ぶらっくすぴりちゅあるず
blaxploitation,ぶらっくすぷろいてーしょん
black tie,ぶらっくたい
black tiger prawn (Penaeus monodon),ぶらっくたいがー
giant tiger prawn,ぶらっくたいがー
black chamber,ぶらっくちぇんばー
black tea,ぶらっくてぃー
black burst,ぶらっくばーすと
blackbird,ぶらっくばーど
black bass,ぶらっくばす
Black Power,ぶらっくぱわー
Black Panther,ぶらっくぱんさー
black pepper,ぶらっくぺっぱー
blackberry,ぶらっくべりー
blackboard,ぶらっくぼーど
black hole,ぶらっくほーる
black box,ぶらっくぼっくす
black market,ぶらっくまーけっと
black magic,ぶらっくまじっく
black money,ぶらっくまねー
black Monday,ぶらっくまんでー
black mamba (Dendroaspis polylepis),ぶらっくまんば
African-American music (和製: black music),ぶらっくみゅーじっく
black humor,ぶらっくゆーもあ
black humour,ぶらっくゆーもあ
black light,ぶらっくらいと
ultraviolet light,ぶらっくらいと
UV light,ぶらっくらいと
blacklist,ぶらっくりすと
brassie (type of golf club),ぶらっしー
brassy,ぶらっしー
brassey,ぶらっしー
brushy,ぶらっしー
flasher (i.e. a turn signal),ふらっしゃー
flash,ふらっしゅ
flush,ふらっしゅ
brush,ぶらっしゅ
plush,ぷらっしゅ
brush up (i.e. polish up, revise),ぶらっしゅあっぷ
flash over (fire),ふらっしゅおーばー
flashover,ふらっしゅおーばー
flashgun,ふらっしゅがん
news flash (和製: flash news),ふらっしゅにゅーす
flashback,ふらっしゅばっく
flashbulb,ふらっしゅばるぶ
flush valve,ふらっしゅばるぶ
brush back pitch,ぶらっしゅぼーる
flash memory,ふらっしゅめもり
flash memory,ふらっしゅめもりー
flashlight,ふらっしゅらいと
torch,ふらっしゅらいと
flashlamp,ふらっしゅらんぷ
flash ROM,ふらっしゅろむ
flashing,ふらっしんぐ
brushing,ぶらっしんぐ
Brussels,ぶらっせる
platter,ぷらった
flutter (sound),ふらったー
Bloody Mary (cocktail of vodka and tomato juice),ぶらっでぃーまりー
flooding,ふらっでぃんぐ
flat,ふらっと
flat address space,ふらっとあどれすくうかん
blood elite,ぶらっどえりーと
blood orange,ぶらっどおれんじ
flat collar,ふらっとからー
flat cable,ふらっとけーぶる
flat shading,ふらっとしぇーでぃんぐ
flat shoes,ふらっとしゅーず
bloodstone,ぶらっどすとーん
horse racing (和製: blood sport),ぶらっどすぽーつ
flat constraint set,ふらっとせいやくしゅうごう
flat (screen) display,ふらっとでぃすぷれい
bloodhound,ぶらっどはうんど
