ozone layer,おぞんそう
carmine (dut: karmijn),かるみん
caramel (por: caramelo),かるめやき
caramel (por: caramelo),かるめら
calmodulin,かるもじゅりん
righteye flounder (any fish of family Pleuronectidae),かれい
kaleidoscope,かれいどすこーぷ
curry,かれー
galley,がれー
Udon cooked with curry topping,かれーうどん
curry corner,かれーこーなー
garage (at house),がれーじ
small scale production model kit (e.g. for figurines) (和製: garage kit),がれーじきっと
garage sale,がれーじせーる
curry sauce,かれーそーす
kaleidoscope,かれーどすこーぷ
curry and rice,かれーらいす
galleon,がれおん
boyfriend and girlfriend matters,かれかの
small scale production model kit (e.g. for figurines),がれき
younger woman (usu. 20-30 years old) who is physically attracted to mature older men (usu. 50-60 years old),かれせん
college,かれっじ
college paper,かれっじぺーぱー
college ring,かれっじりんぐ
college level,かれっじれべる
caledonian,かれどにあん
gallery,がれりー
currency,かれんしー
currants,かれんず
Karen (people),かれんぞく
calendar,かれんだ
calender (machine for flattening things),かれんだ
calendar,かれんだー
calender (machine for flattening things),かれんだー
calendar program,かれんだーぷろぐらむ
calendar clock,かれんだくろっく
currants,かれんつ
current,かれんと
current English,かれんといんぐりっしゅ
current directory,かれんとでぃれくとり
current topics,かれんととぴっくす
current drive,かれんとどらいぶ
current transaction,かれんととらんざくしょん
current drain,かれんとどれいん
current news,かれんとにゅーす
current price,かれんとぷらいす
current loop,かれんとるーぷ
current-loop,かれんとるーぷ
current record,かれんとれこーど
Galois theory,がろありろん
corolla,かろーら
kaross (cloak made of animal skin),かろす
carotenoid,かろちのいど
carotinoid,かろちのいど
carotene,かろちん
galop (dance),がろっぷ
carotenoid,かろてのいど
carotinoid,かろてのいど
carotene,かろてん
calomel,かろめる
Carolina,かろらいな
Carolina chickadee (Parus carolinensis),かろらいなこがら
Carolina chickadee (Parus carolinensis),かろらいなこがら
calorie,かろりー
diet (和製: calorie off),かろりーおふ
low calorie,かろりーおふ
reduced calorie,かろりーおふ
diet (和製: calorie free),かろりーふりー
no calorie,かろりーふりー
non-caloric,かろりーふりー
calorimeter,かろりめーたー
carol,かろる
gallon,がろん
gallon bottle,がろんびん
three litre glass bottle used for pharmaceuticals,がろんびん
river dolphin,かわいるか
great cormorant (Phalacrocorax carbo),かわう
otter (esp. the Japanese river otter, Lutra lutra whiteleyi),かわうそ
brown dipper (Cinclus pallasii),かわがらす
stonefly (any insect of order Plecoptera, esp. those of family Perlidae),かわげら
kingfisher (esp. the common kingfisher, Alcedo atthis),かわせみ
broad-winged damselfly (of family Calopterygidae),かわとんぼ
Japanese water shrew (Chimarrogale platycephala),かわねずみ
dark chub (Nipponocypris temminckii),かわむつ
Batrachospermum gelatinosum (species of red alga),かわもずく
arctic lamprey (Lethenteron japonicum),かわやつめ
large pink (Dianthus superbus var. longicalycinus),かわらなでしこ
Artemisia carvifolia var. apiacea,かわらにんじん
Artemisia caruifolia,かわらにんじん
rock pigeon (Columba livia),かわらばと
rock dove,かわらばと
Oriental greenfinch (Carduelis sinica),かわらひわ
our lady's bedstraw (Galium verum),かわらまつば
yellow bedstraw,かわらまつば
capillary artemisia (Artemisia capillaris),かわらよもぎ
yin-chen wormwood,かわらよもぎ
gun,がん
Asarum nipponicum (species of wild ginger),かんあおい
kangaroo,かんがるー
kangaroo rat (of North America; any rodent of genus Dipodomys),かんがるーねずみ
kangaroo rat (of North America; any rodent of genus Dipodomys),かんがるーねずみ
can-can (fre: cancan),かんかん
sound of large bell,がんがん
sound of scolding voice,がんがん
(pounding of) headache,がんがん
intense,がんがん
to pig out,がんがんたべる
to chow down,がんがんたべる
skate (Rajinidae spp., esp. the Kwangtung skate, Dipturus kwangtungensis),がんぎえい
losing one's cool,がんぎれ
blowing one's top,がんぎれ
losing one's cool,がんぎれ
blowing one's top,がんぎれ
gunclub check,がんくらぶちぇっく
ganglioside,がんぐりおしど
ganglion,がんぐりおん
darkly tanned face (fashionable among trendy young people ca. 1999-2000),がんくろ
cancer notification,がんこくち
to be in a slump,かんこる
kan ecology (beautifying an area by picking up cans),かんころじー
Kansas,かんざす
snowshoe hare,かんじきうさぎ
snowshoe rabbit (Lepus americanus),かんじきうさぎ
ganciclovir,がんしくろびる
candidiasis,かんじだしょう
candidal vaginitis,かんじだちつえん
vaginal yeast infection,かんじだちつえん
gun shop,がんしょっぷ
abbr. of counter stop,かんすと
max value in games (99, 255 and such),かんすと
hemerocallis,かんぞう
daylily,かんぞう
beefsteak fungus (Fistulina hepatica),かんぞうたけ
beefsteak mushroom,かんぞうたけ
canter,かんたー
cantata,かんたーた
cantabile (in a smooth, singing manner),かんたーびれ
Quantum,かんたむ
cantharadin (active ingredient of cantharides),かんたりじん
cantharides (lat: cantharis),かんたりす
cantaloupe,かんたるーぷ
cantaloupe,かんたろーぷ
cantilever,かんちればー
canzona,かんつぉーな
canzone,かんつぉーね
canzonetta,かんつぉねった
border (ger: Kante),かんて
Ghandi,がんでぃー
cantilever,かんてぃればー
torch (dut: kandelaar),かんてら
candela,かんでら
Kant,かんと
cant,かんと
something,かんとか
something or other,かんとか
so-and-so,かんとか
Gantt chart,がんとちゃーと
Kant-Laplace nebular hypothesis,かんとらぷらすのせいうんせつ
country,かんとりー
country and western,かんとりーあんどうぇすたん
country and western,かんとりーあんどうえすたん
country wear,かんとりーうえあ
country walk,かんとりーうおーく
country elevator,かんとりーえれべーたー
country club,かんとりーくらぶ
gantry crane,がんとりーくれーん
country school,かんとりーすくーる
country blues,かんとりーぶるーす
country music,かんとりーみゅーじっく
country risk,かんとりーりすく
country rock,かんとりーろっく
country code,かんとりこーど
gauntlet,がんとれっと
Cantonese food,かんとんりょうり
gunner,がんなー
planing (wood),かんながけ
gunny,がんにー
cheating (和製: cunning),かんにんぐ
crib sheet (和製: cunning paper),かんにんぐぺーぱー
cheat sheet,かんにんぐぺーぱー
large sketchbook used during TV filming to notify the cast of special stage direction, relay messages, etc.,かんにんぐぺーぱー
fast asleep,がんね
bombed,がんね
crashed,がんね
fund raising campaign (rus: kampanya),かんぱ
campaign,かんぱ
canvas,かんばす
conversation,かんばせーしょん
fund-raising campaign (rus: kampanya),かんぱにあ
company,かんぱにー
company economist,かんぱにーえこのみすと
company paper,かんぱにーぺーぱー
company magazine,かんぱにーまがじん
company union,かんぱにーゆにおん
attitude that one must keep going no matter what (和製: gambarism),がんばりずむ
Diplomorpha sikokiana (species of flowering plant),がんぴ
paper made from the fibre of this plant,がんぴ
Lychnis coronata,がんぴ
Gambia,がんびあがわ
Republic of the Gambia,がんびあきょうわこく
gambir (species of climbing plant, Uncaria gambir),がんびーる
gambier,がんびーる
Campylobacter,かんぴろばくたー
camphor,かんふぁー
gunfighter,がんふぁいたー
gunfight,がんふぁいと
conferencing,かんふぁれんしんぐ
conference,かんふぁれんす
ugly mug,がんぶー
gambuh (Balinese traditional dance),がんぶー
camptosaurus,かんぷとさうるす
Gundam plastic models,がんぷら
Cambrian period,かんぶりあき
Cambrian system (i.e. rock layer deposited during the Cambrian period),かんぶりあけい
Cambrian explosion,かんぶりあばくはつ
cambric,かんぶりっく
camphor (dut: kamfer),かんふる
large sketchbook used during TV filming to notify the cast of special stage direction, relay messages, etc.,かんぺ
cue card,かんぺ
gun belt,がんべると
metallic pencil box (和製: can pencil-case),かんぺん
gumbo,がんぼ
okra,がんぼ
gamboge,がんぼーじ
gamboge tree,がんぼーじのき
Cambodia,かんぼじあ
comma,かんま
cedilla,かんま
gamma,がんま
gamma,がんまー
gamma-aminobutyric acid (GABA),がんまあみのらくさん
shotgun microphone,がんまいく
gamma globulin,がんまぐろぶりん
gamma rays,がんません
gun mania,がんまにあ
comma format,かんまひょうじ
gamma field,がんまふぃーるど
gamma decay,がんまほうかい
gamma correction,がんまほせい
gamma ramp,がんまらんぷ
gunman,がんまん
glaring look,がんみ
giving the stink eye,がんみ
crested serpent eagle (Spilornis cheela),かんむりわし
gunmetal,がんめたる
Chinese white olive (Canarium album),かんらん
olive (Olea europea) (used as an incorrect translation),かんらん
olivine,かんらんせき
peridot,かんらんせき
gear,ぎあ
grey-tailed tattler (species of sandpiper, Heteroscelus brevipes),きあししぎ
gearshift,ぎあしふと
chiasma,きあずま
chiasmata,きあずま
gear change,ぎあちぇんじ
Guiana,ぎあな
chiaroscuro,きあろすくーろ
key,きー
long squealing sound,きー
ghee,ぎー
gear,ぎいあ
key assign,きーあさいん
key advisor,きーあどばいざー
key adviser,きーあどばいざー
key in,きーいん
key industry,きーいんだすとりー
kiwi,きーうぃ
kiwi fruit,きーうぃ
kiwi,きーうぃー
kiwi fruit,きーうぃー
KeyWeb Creater,きーうぇぶくりえいた
KeySQL,きーえすきゅーえる
key escrow,きーえすくろー
key customize,きーかすたまいず
key currency,きーかれんしー
creak,きぃきぃ
squeak,きぃきぃ
creak,きいきい
squeak,きいきい
creak,きーきー
squeak,きーきー
key station,きーきょく
geek,ぎーく
key club,きーくらぶ
candidate key,きーこうほ
key code,きーこーど
keysym,きーしむ
key-symbol,きーしむ
KSDS,きーじゅんでーたせっと
Key-Sequenced Data Set,きーじゅんでーたせっと
key matching,きーしょうごう
key station,きーすてーしょん
keystone,きーすとーん
keystone combination,きーすとーんこんび
keystone combination,きーすとーんこんびねーしょん
key-stroke,きーすとろーく
Korean female entertainer (kor: gi-saeng),きーせん
key title,きーたいとる
key-touch,きーたっち
raspberry (any plant of genus Rubus, esp. Rubus palmatus var. coptophyllus),きいちご
key disk,きーでぃすく
key technology,きーてくのろじー
keytop,きーとっぷ
key (input),きーにゅうりょく
keystroke verification,きーにゅうりょくけんしょう
waiting for key-in,きーにゅうりょくまち
keno,きーのー
keynote,きーのーと
keeper,きーぱー
key person,きーぱーそん
keeper charge,きーぱーちゃーじ
key binding,きーばいんど
keypad,きーぱっど
key buffer,きーばっふぁ
key punch,きーぱんち
key puncher,きーぱんちゃー
keypuncher,きーぱんちやー
keep,きーぷ
quipu,きーぷ
quippu,きーぷ
keep-alive,きーぷあらいぶ
keep alive message,きーぷあらいぶめっせーじ
key feature,きーふぃーちゃ
key field,きーふぃーるど
reference sample (和製: keep sample),きーぷさんぷる
bottle of whiskey (whisky) that a bar customer buys, writes his name on, keeps on a shelf at the bar, and drinks little by little on successive visits (和製: keep bottle),きーぷぼっとる
key frame,きーふれーむ
key bed,きーべっど
key point,きーぽいんと
the key,きーぽいんと
keyboard,きーぼーど
keyboard enhancer,きーぼーどえんはんさ
calculator with keyboard and external program input,きーぼーどおよびがいぶぷろぐらむにゅうりょくしきけいさんき
keyboard shortcut,きーぼーどしょーとかっと
calculator with keyboard controlled addressable storage,きーぼーどせいぎょしきのあどれすしていかのうなきおくいきをもつけいさんき
keyboard controller,きーぼーどせいぎょそうち
keyboard template,きーぼーどてんぷれーと
keyboard input,きーぼーどにゅうりょく
keyboard design,きーぼーどのでざいん
keyboard layout,きーぼーどのはいち
keyboard password,きーぼーどぱすわーど
keyboard buffer,きーぼーどばっふぁ
calculator with keyboard program input,きーぼーどぷろぐらむにゅうりょくしきけいさんき
keyboard help,きーぼーどへるぷ
keyboard macro,きーぼーどまくろ
keyboard reset,きーぼーどりせっと
keyboard lock,きーぼーどろっく
keyhole,きーほーる
keyhole journalism,きーほーるじゃーなりずむ
key chain (和製: key holder),きーほるだー
key ring (encryption),きーほるだー
key market,きーまーけっと
key macro,きーまくろ
key-map,きーまっぷ
keyman,きーまん
key light,きーらいと
key recovery,きーりかばりー
key repeat,きーりぴーと
key ring (encryption),きーりんぐ
keel,きーる
keyless entry,きーれすえんとりー
key receptacle,きーれせぷたくる
software used to note content typed (typically to steal passwords) (和製: key logger),きーろがー
Drosophila melanogaster (species of fruit fly),きいろしょうじょうばえ
keyword,きーわーど
buzzword,きーわーど
catch-phrase,きーわーど
keyword search,きーわーどけんさく
keyword search,きーわーどさーち
key assignment,きーわりあて
key assignment,きーわりあて
bing-bong bang-bong (Big Ben chimes, used as a bell in Japanese schools),きーんこーんかーんこーん
kiwi,きうぃ
kiwi fruit,きうぃ
kiwi,きうい
kiwi fruit,きうい
kiwi fruit,きういふるーつ
kiosk,きおすく
KIOSK mode,きおすくもーど
giga-,ぎが
10^9,ぎが
gigaton,ぎがとん
gigabyte,ぎがばいと
gigabit,ぎがびっと
Gigabit Ethernet,ぎがびっといーさねっと
gigahertz,ぎがへるつ
Greek god or goddess,ぎかみ
GIGAMO,ぎがも
forktail bullhead (species of catfish, Pelteobagrus nudiceps),ぎぎ
gig,ぎぐ
goldcrest (species of passerine bird, Regulus regulus),きくいただき
bark beetle (Scolytidae spp.),きくいむし
gribble (Limnoria lignorum),きくいむし
Jerusalem artichoke,きくいも
Asteraceae, Compositae (plant family),きくか
aster family,きくか
daisy family,きくか
sunflower family,きくか
jerkiness,ぎくしゃく
awkwardness,ぎくしゃく
stiltedness,ぎくしゃく
souring (of a relationship),ぎくしゃく
strain (e.g. in relations),ぎくしゃく
endive (Cichorium endivia),きくぢしゃ
escarole,きくぢしゃ
Cicero,きけろ
jagged,ぎざぎざ
notched,ぎざぎざ
corrugated,ぎざぎざ
milled,ぎざぎざ
serrated,ぎざぎざ
yellow catalpa (Catalpa ovata),きささげ
Chinese catalpa,きささげ
xanthine,きさんちん
xanthophyll,きさんとふぃる
green pheasant (Phasianus versicolor),きじ
Japanese pheasant,きじ
Phasianidae (pheasant family of birds),きじか
Asparagus schoberioides,きじかくし
Japanese dock (plant) (Rumex japonicus),ぎしぎし
creak,ぎしぎし
squeak,ぎしぎし
creaking sound,ぎしぎし
red-spotted grouper (species of fish, Epinephelus akaara),きじはた
Hong Kong grouper,きじはた
Oriental turtle dove (Streptopelia orientalis),きじばと
eastern turtle dove,きじばと
rufous turtledove,きじばと
Galliformes (galliform order of birds),きじもく
Parafontaria laminata (species of millipede),きしゃやすで
quiche,きしゅ
feel sick,きしょい
(something is) weird,きしょい
psylla (any insect of family Psyllidae),きじらみ
psyllid,きじらみ
jumping plant louse,きじらみ
xylan,きしらん
xylitol (artificial sweetener),きしりとーる
artificial wood sugar (xylose),きしりとーる
xylitol (artificial sweetener),きしりとる
artificial wood sugar (xylose),きしりとる
xylene,きしれん
xylose,きしろーす
xylol,きしろーる
sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica),きす
kiss,きす
kiss-and-ride,きすあんどらいど
dropping family member off at a station,きすあんどらいど
jonquil (Narcissus jonquilla),きずいせん
kiss curl,きすかーる
spit curl,きすかーる
kiss scene,きすしーん
lipstick mark (和製: kiss mark),きすまーく
love bite,きすまーく
hickey,きすまーく
passion mark,きすまーく
grey wagtail (Motacilla cinerea),きせきれい
gray wagtail,きせきれい
xenia,きせにあ
xenon (Xe),きせのん
Xenon arc lamp,きせのんあーくらんぷ
Xenon lamp,きせのんらんぷ
pipe with metal tipped stem (khm: khsier),きせる
stolen train ride (only paying a local fare each end),きせる
guitar,ぎたー
guitar amplifier,ぎたーあんぷ
guitar synthesizer,ぎたーしんせ
guitar synthesiser,ぎたーしんせ
guitar string,ぎたーのげん
guitar magazine,ぎたーまがじん
yellowback sea bream (Dentex tumifrons),きだい
Ezo red fox (Vulpes vulpes schrencki),きたきつね
white-bellied woodpecker (Dryocopus javensis),きたたき
Asian comma butterfly (Polygonia c-aureum),きたては
kithara (ancient Greek musical instrument),きたら
cithara,きたら
red squirrel (Sciurus vulgaris),きたりす
guitarist,ぎたりすと
mania,きち
enthusiasm,きち
maniac,きち
enthusiast,きち
nut,きち
jam-packed (physically or of schedule, etc.),きちきち
(used to denote a) grinding noise,きちきち
precisely,きちきち
correctly (e.g. when working, etc.),きちきち
acrida cinerea,きちきち
oriental longheaded locust,きちきち
male Oriental longheaded locust (Acrida cinerea),きちきちばった
Gonista bicolor (species of grasshopper resembling the Oriental longheaded locust),きちきちばった
broadbanded thornyhead,きちじ
broadfin thornyhead,きちじ
kichiji rockfish (Sebastolobus macrochir),きちじ
kitchen,きちん
chitin,きちん
Kitchin cycle,きちんのさいくる
kicker (soccer, football, rugby, etc.),きっかー
kick,きっく
kickout,きっくあうと
kick and rush,きっくあんどらっしゅ
kickoff,きっくおふ
kick starter,きっくすたーたー
kick step (mountaineering technique),きっくすてっぷ
kick turn,きっくたーん
kick drum,きっくどらむ
kickback,きっくばっく
kickball,きっくぼーる
kickboxing,きっくぼくしんぐ
kick-boxing,きっくぼくしんぐ
strained back,ぎっくりごし
slipped disk,ぎっくりごし
lumbosacral strain,ぎっくりごし
quiche,きっしゅ
kiss,きっす
kids,きっず
children,きっず
kids' business,きっずびじねす
kids' room,きっずるーむ
Hedera rhombea (species of ivy),きづた
kitsch,きっちゅ
kitchen,きっちん
kitchenware,きっちんうえあ
kitchen cabinet,きっちんきゃびねっと
kitchen drinker,きっちんどりんかー
kitchen programmer,きっちんぷろぐらまー
paper towel (和製: kitchen paper),きっちんぺーぱー
woodpecker,きつつき
kit,きっと
kid,きっど
fox (esp. the red fox, Vulpes vulpes),きつね
fox (i.e. a sly person),きつね
soba or udon topped with deep-fried tofu,きつね
light brown,きつね
lemur,きつねざる
kipper (i.e. kippered fish),きっぱー
kip,きっぷ
kiddie,きでぃ
kiddy,きでぃ
kiddie,きでぃー
kiddy,きでぃー
very strange,きてれつ
odd,きてれつ
queer,きてれつ
kidney,きどにー
kidney-pie,きどにーぱい
kidney punch,きどにーぱんち
chiton,きとん
kinase,きなーぜ
quinacrine (antimalarial),きなくりん
Guinea,ぎにあ
Republic of Guinea,ぎにあきょうわこく
Guinea-Bissau,ぎにあびさう
Republic of Guinea-Bissau,ぎにあびさうきょうわこく
guinea,ぎにー
quinine (dut: kinine),きにーね
guinea pig,ぎにーぴっぐ
Cynic school (of philosophy),きにくがくは
quinidine,きにじん
guignol,ぎにょーる
guignol,ぎにょる
quinine,きにん
hamster (any rodent of subfamily Cricetinae),きぬげねずみ
common marmoset (Callithrix (Callithrix) jacchus),きぬざる
Kinuhikari (variety of rice),きぬひかり
kinesiology,きねしおろじー
kinesics,きねしくす
kinescope,きねすこーぷ
Guinness Book of Records,ぎねすぶっく
kinetin,きねちん
kinetic art,きねてぃっくあーと
kinetoscope,きねとすこーぷ
kinema,きねま
kinematograph,きねまとぐらふ
quinoa,きのあ
mushroom,きのこ
cynodonts,きのどんるい
Indian lettuce (Lactuca indica),きののげし
climbing perch (esp. of genus Anabas),きのぼりうお
Ryukyu tree lizard (Japalura polygonata),きのぼりとかげ
chinoform,きのほるむ
quinoline,きのりん
quinone,きのん
mud creeper (Terebralia palustris),きばうみにな
Lespedeza buergeri (species of bush clover),きはぎ
twite (species of finch, Carduelis flavirostris),きばしひわ
common treecreeper (species of songbird, Certhia familiaris),きばしり
KIVASOFT,きばそふと
yellowfin tuna (edible fish, Thunnus albacares),きはだ
yellowfin tuna (edible fish, Thunnus albacares),きはだまぐろ
cut-tailed bullhead (species of catfish, Pseudobagrus aurantiacus),ぎばち
rose of Sharon (Hibiscus syriacus),きはちす
millet (Panicum miliaceium),きび
proso millet,きび
narcissus flycatcher (Ficedula narcissina),きびたき
silver-stripe round herring (Spratelloides gracilis),きびなご
give,ぎぶ
uncle! (I give up),ぎぶ
give up,ぎぶあっぷ
give-and-take,ぎぶあんどていく
give and take,ぎぶあんどていく
give-and-take,きぶあんどてーく
give-and-take,ぎぶあんどてーく
give and take,ぎぶあんどてーく
early spiketail (species of flowering plant, Stachyurus praecox),きぶし
gypsum (ger: Gips),ぎぶす
plaster-of-paris,ぎぶす
plaster cast,ぎぶす
cast,ぎぶす
gypsum (ger: Gips),ぎぷす
plaster-of-paris,ぎぷす
plaster cast,ぎぷす
cast,ぎぷす
plaster cast,ぎぷすほうたい
kibbutz,きぶつ
gift,ぎふと
gift card,ぎふとかーど
gift certificate,ぎふとかーど
gift coupon,ぎふとくーぽん
gift certificate,ぎふとけん
gift voucher,ぎふとけん
gift shop,ぎふとしょっぷ
gift check,ぎふとちぇっく
gift cheque,ぎふとちぇっく
gift package,ぎふとぱっけーじ
Cyprus,きぷろす
gibberellin (plant hormone),ぎべれりん
stone-leek flower,ぎぼうし
hosta (genus of about 40 species of lily-like plants in the family Agavaceae),ぎぼうし
stone-leek flower,ぎぼし
hosta (genus of about 40 species of lily-like plants in the family Agavaceae),ぎぼし
garden springtail (Bourletiella hortensis),きぼしまるとびむし
acorn worm (any hemichordate of class Enteropneusta),ぎぼしむし
gibbon,ぎぼん
hope,きぼんぬ
wish,きぼんぬ
aspiration,きぼんぬ
chimera (mythological),きまいら
chimaera,きまいら
gimmick,ぎみっく
yellow wattlebird (Anthochaera paradoxa),きみみだれみつすい
Kimura Takuya,きむたく
gymnasium,ぎむなじうむ
gymnema (Indian herb),ぎむねま
Heptathela kimurai (species of burrowing spider),きむらぐも
gimlet (cocktail),ぎむれっと
posed look (sexy face, etc.),きめがお
chimera (mythological),きめら
chimaera,きめら
chimera (biological),きめら
chimaera,きめら
chimeric mouse,きめらまうす
gross,きもい
disgusting,きもい
being both repellant and attractive at the same time,きもかわいい
being both cute and disgusting,きもかわいい
being both repellant and attractive at the same time,きもかわいい
being both cute and disgusting,きもかわいい
kymograph,きもぐらふ
chymosin,きもしん
chymotrypsin,きもとりぷしん
repulsive man,きもめん
gear,ぎや
gather (e.g. in cloth),ぎゃーざー
joke,ぎゃぐ
gag,ぎゃぐ
gagman,ぎゃぐまん
gag man,ぎゃぐまん
to joke,ぎゃぐる
to say something funny,ぎゃぐる
gather,ぎゃざー
gathered skirt,ぎゃざーすかーと
cask,きゃすく
caster,きゃすたー
newscaster,きゃすたー
roller bag (和製: caster bag),きゃすたーばっぐ
wheelie bag,きゃすたーばっぐ
casting,きゃすちんぐ
casting vote,きゃすちんぐぼーと
casting reel,きゃすちんぐりーる
casting,きゃすてぃんぐ
casting vote,きゃすてぃんぐぼーと
Castilian,きゃすてりゃ
cast,きゃすと
castling,きゃすりんぐ
Cathay (Airline),きゃせい
gadget bag,ぎゃぜっとばっぐ
casserole,きゃせろーる
catastrophe,きゃたすとろふぃ
caterpillar,きゃたぴら
endless track,きゃたぴら
caterpillar,きゃたぴらー
endless track,きゃたぴらー
shriek,きゃっ
scream,きゃっ
cassava,きゃっさば
cashier,きゃっしゃー
cache,きゃっしゅ
cash,きゃっしゅ
cash on delivery,きゃっしゅおんでりばりー
COD,きゃっしゅおんでりばりー
cash card,きゃっしゅかーど
ATM card,きゃっしゅかーど
cache storage,きゃっしゅきおくそうち
automatic teller machine,きゃっしゅこーな
cache controller,きゃっしゅこんとろーら
automatic teller machine (和製: cash-service corner),きゃっしゅさーびすこーなー
ATM,きゃっしゅさーびすこーなー
flexi-teller,きゃっしゅさーびすこーなー
hole-in-the-wall,きゃっしゅさーびすこーなー
cache disk,きゃっしゅでぃすく
cash dispenser,きゃっしゅでぃすぺんさ
cash dispenser,きゃっしゅでぃすぺんさー
cash-back,きゃっしゅばっく
rebate,きゃっしゅばっく
cache file,きゃっしゅふぁいる
cashbook,きゃっしゅぶっく
cache plug-in,きゃっしゅぷらぐいん
cash flow,きゃっしゅふろー
money belt (和製: cash belt),きゃっしゅべると
cashbox,きゃっしゅぼっくす
cash machine,きゃっしゅましん
automatic teller machine,きゃっしゅましん
cache memory,きゃっしゅめもり
cache memory,きゃっしゅめもりー
cache memory organization,きゃっしゅめもりきこう
cache writer,きゃっしゅらいた
cash register,きゃっしゅれじすたー
cashless,きゃっしゅれす
cashless system,きゃっしゅれすしすてむ
cashless society,きゃっしゅれすしゃかい
cashless society,きゃっしゅれすそさいてぃー
cashless checkless society (chequeless),きゃっしゅれすちぇっくれすそさいてぃ
caching,きゃっしんぐ
cashing,きゃっしんぐ
taking out small loans,きゃっしんぐ
castle,きゃっする
Compact Application Solution Language,きゃっする
CASL,きゃっする
catch,きゃっち
catch-up,きゃっちあっぷ
catch and release (fishing),きゃっちあんどりりーす
catchy,きゃっちー
catch copy (in copywriting, large text that appears in ads or brochures to catch the reader's attention),きゃっちこぴー
unscrupulous sales practice involving expensive hard-to-break contracts (practise) (和製: catch sales),きゃっちせーるす
catch bar,きゃっちばー
catchphrase,きゃっちふれーず
playing catch (和製: catch ball),きゃっちぼーる
call waiting (和製: catch phone),きゃっちほん
catcher,きゃっちゃー
catcher (whaling boat),きゃっちゃーぼーと
catchword,きゃっちわーど
cats (esp. the musical: Cats),きゃっつ
cat's-eye (semiprecious stone),きゃっつあい
cat's-eye (light-reflecting road stud),きゃっつあい
cat,きゃっと
catwalk,きゃっとうぉーく
catwalk,きゃっとうおーく
unable to take (thermally) hot food (和製: cat tongue),きゃっとたん
have a tongue too sensitive to heat,きゃっとたん
cat food,きゃっとふーど
cap,きゃっぷ
top reporter at a newspaper's local office,きゃっぷ
captain,きゃっぷ
gap,ぎゃっぷ
cap sleeve,きゃっぷすりーぶ
cap height,きゃっぷはいと
cap light,きゃっぷらいと
capline,きゃっぷらいん
cap lamp,きゃっぷらんぷ
gap lathe,ぎゃっぷれーす
capless,きゃっぷれす
cap rock,きゃっぷろっく
caddy,きゃでぃ
caddie,きゃでぃー
caddy,きゃでぃー
caddie bag,きゃでぃーばっぐ
caddy bag,きゃでぃーばっぐ
Cadillac,きゃでらっく
CAD-CAM,きゃどきゃむ
canyon,きゃにおん
canister,きゃにすたー
Canola (oil),きゃのーら
canopy,きゃのぴー
canon,きゃのん
Canon,きやのん
cannon,きゃのんほう
cannonball,きゃのんぼーる
capacity,きゃぱ
cabaret club,きゃばくら
female cabaret club employee,きゃばくらじょう
capacitor,きゃぱした
capacitor,きゃぱしたー
capacitance,きゃぱしたんす
capacity,きゃぱしてぃ
capacity,きゃぱしてぃー
capacity planning,きゃぱしてぃぷらんにんぐ
female cabaret club employee,きゃばじょう
gabardine,ぎゃばじん
cabaret,きゃばれー
caviar,きゃびあ
caviare,きゃびあ
capitalism,きゃぴたりずむ
capital,きゃぴたる
capital gain,きゃぴたるげいん
capital base,きゃぴたるべーす
capital risk,きゃぴたるりすく
capital letter,きゃぴたるれたー
capital loss,きゃぴたるろす
cavitation,きゃびてーしょん
capital,きゃぴとる
capitol,きゃぴとる
cabinet,きゃびね
cabinet,きゃびねっと
housing (of equipment),きゃびねっと
cabinet alarm,きゃびねっとあらーむ
cabinet environment,きゃびねっとかんきょう
cabinet enclosure,きゃびねっときょうたい
cabinet type,きゃびねっとたいぷ
cabinet enclosure,きゃびねっとのきょうたい
cabinet file,きゃびねっとふぁいる
cabinet frame,きゃびねっとふれーむ
cabinet front door,きゃびねっとふろんとどあ
cabinet monitoring controller,きゃびねっともにたこんとろーら
cabinet monitoring,きゃびねっともにたりんぐ
cabinet roof,きゃびねっとるーふ
cabinet size,きゃびねばん
cabin,きゃびん
cabin attendant,きゃびんあてんだんと
gaff,ぎゃふ
CAFIS,きゃふぃす
cafe,きゃふぇ
hostess bar (serving western alcoholic beverages; Taisho and Showa period),きゃふぇ
cafeteria,きゃふぇてりあ
caption,きゃぷしょん
legend,きゃぷしょん
cutline,きゃぷしょん
capstan,きゃぷすたん
Caps Lock,きゃぷすろっく
Caps Lock key,きゃぷすろっくきー
caps lock key,きゃぷすろっくきー
cab-tyre cable,きゃぶたいやけーぶる
capture,きゃぷちゃ
CAPTCHA,きゃぷちゃ
Completely Automated Public Turing test to tell Computers and Humans Apart,きゃぷちゃ
capture,きゃぷちゃー
capture device,きゃぷちゃでばいす
capture buffer,きゃぷちゃばっふぁ
captain,きゃぷてん
Character and Pattern Telephone Access Information System,きゃぷてんしすてむ
CAPTAIN System,きゃぷてんしすてむ
captain jacket,きゃぷてんじゃけっと
capeline,きゃぷりーぬ
carburetor,きゃぶれたー
carburettor,きゃぶれたー
carburator,きゃぶれたー
carburetter,きゃぶれたー
cabbage,きゃべつ
capelin,きゃぺりん
caplin (Mallotus villosus),きゃぺりん
diamant,ぎやまん
diamond,ぎやまん
diamond,ぎやまんせき
camisole,きゃみそーる
camera,きゃめら
camel,きゃめる
