Sakhalin,さはりん
shining,しゃいにんぐ
jive,じゃいぶ
gyro,じゃいろ
gyroscope,じゃいろ
gyrocompas,じゃいろ
gyrocopter,じゃいろこぷたー
gyrocompass,じゃいろこんぱす
gyroscope,じゃいろすこーぷ
gyrostabilizer,じゃいろすたびらいざー
gyropilot,じゃいろぱいろっと
gyro horizon,じゃいろほらいずん
shaoxingjiu (Chinese alcohol made from rice or glutinous millet),しゃおしんちゅー
shaoxingjiu (Chinese alcohol made from rice or glutinous millet),しゃおしんちゅう
fringed iris,しゃが
Iris japonica,しゃが
Japanese iris,しゃが
jaguar,じゃがー
JaguarCTS,じゃがーしーてぃーえす
Jacquard (type of loom),じゃかーど
jacquard weave,じゃかーどおり
Jacquard machine,じゃかーどき
potato (Solanum tuberosum),じゃがいも
potato (Solanum tuberosum),じゃがいも
nylon track suit (when worn as street fashion),しゃかしゃか
nylon track pants (when worn as street fashion),しゃかしゃかぱんつ
potato (Solanum tuberosum) (lit: Jakarta potato),じゃがたらいも
potato (Solanum tuberosum) (lit: Jakarta potato),じゃがたらいも
potato (Solanum tuberosum) (lit: Jakarta potato),じゃがたらいも
nylon track pants (when worn as street fashion),しゃかぱん
Jakarta,じゃかるた
shaggy (hair style),しゃぎー
jazz dance,じゃぎー
jaggies,じゃぎー
shaggy carpet,しゃぎーかーぺっと
jug,じゃぐ
jacuzzi,じゃくーじ
curlew (any bird of genus Numenius),しゃくしぎ
yellow bird's-nest (Monotropa hypopitys),しゃくじょうそう
pinesap,しゃくじょうそう
false beechdrops,しゃくじょうそう
Jacksonian epilepsy,じゃくそんてんかん
Jughead,じゃぐへっど
juggler,じゃぐらー
Chinese peony (Paeonia lactiflora),しゃくらく
juggling,じゃぐりんぐ
jacket picture (i.e. of a record),じゃけしゃ
jacket,じゃけつ
book jacket,じゃけつ
dust cover,じゃけつ
jacket,じゃけっと
book jacket,じゃけっと
dust cover,じゃけっと
jacket type (e.g. a style of clothing),じゃけっとたいぷ
jacket-style buoyancy control device (BCD) shaped like a sleeveless coat,じゃけっとたいぷ
francolin (partridge-like bird of genus Francolinus),しゃこ
partridge (of genus Perdix),しゃこ
mantis shrimp (any marine crustacean of order Stomatopoda, esp. the species Oratosquilla oratoria),しゃこ
civet cat,じゃこうねこ
Asian house shrew (Suncus murinus),じゃこうねずみ
giant clam (any clam of subfamily Tridacnidae),しゃこがい
vehicle with body lowered,しゃこたん
shako meshi,しゃこめし
rice cooked with shrimp,しゃこめし
chaconne,しゃこんぬ
jazzercize,じゃざーさいず
jazzercise,じゃざーさいず
chassis,しゃし
chassis,しゃしー
sea bilberry (Vaccinium bracteatum),しゃしゃんぼ
jazz,じゃず
jazz club,じゃずくらぶ
jazz chorus,じゃずこーらす
jazz singer,じゃずしんがー
jazz song,じゃずそんぐ
JASDAQ market,じゃすだっくいちば
jazz dance,じゃずだんす
justice,じゃすてぃす
justify,じゃすてぃふぁい
justification,じゃすてぃふぃけーしょん
just,じゃすと
perfect,じゃすと
exact,じゃすと
just-in-time (inventory strategy),じゃすといんたいむ
JIT,じゃすといんたいむ
Just In Time Compiler,じゃすといんたいむこんぱいら
Just Window,じゃすとうぃんどう
internal clock that is always correct (和製: just clock),じゃすとくろっく
correct size,じゃすとさいず
perfect size,じゃすとさいず
JustSystem,じゃすとしすてむ
JustNet,じゃすとねっと
it fits perfectly (和製: just fit),じゃすとふぃっと
hit the ball squarely (baseball) (和製: just meet),じゃすとみーと
being somebody's type,じゃすとみーと
jasperware,じゃすぱーうえあ
jazz band,じゃずばんど
jazz piano,じゃずぴあの
in perfect focus,じゃすぴん
jazz festival,じゃずふぇすてぃばる
jasmine,じゃすみん
jasmine tea,じゃすみんちゃ
jazzmen,じゃずめん
jazz life,じゃずらいふ
chanson,しゃそん
judder,じゃだー
self-inking (rubber) stamp (from the company name),しゃちはた
lobster moth (Stauropus fagi persimilis),しゃちほこが
shirt,しゃつ
singlet,しゃつ
shirt collar,しゃつからー
jackal (carnivores, Canis aureus ssp., C. adustus, C. mesomelas),じゃっかる
jack,じゃっき
crisp,しゃっきしゃっき
precise,しゃっきしゃっき
look sharp!,しゃっきとしろ
jack,じゃっく
jack-o'-lantern,じゃっく・お・らんたーん
jack o'lantern,じゃっく・お・らんたーん
jack-o'-lantern,じゃっくおらんたーん
jack o'lantern,じゃっくおらんたーん
jack-knife,じゃっくないふ
jackpot,じゃっくぽっと
jack-o'-lantern,じゃっくらんたん
jack o'lantern,じゃっくらんたん
juggle,じゃっぐる
judge,じゃっじ
judge flag,じゃっじふらっぐ
judge paper,じゃっじぺーぱー
judgement,じゃっじめんと
judgment,じゃっじめんと
judge lamp,じゃっじらんぷ
camera shutter,しゃったー
shutter (door, window, etc.),しゃったー
good time to take a picture (和製: shutter chance),しゃったーちゃんす
to release a shutter (camera),しゃったーをきる
to click a shutter,しゃったーをきる
shut,しゃっと
shutout,しゃっとあうと
shutdown,しゃっとだうん
shuttle,しゃっとる
Japanese person,じゃっぷ
Jap,じゃっぷ
shirt blouse,しゃつぶらうす
shirtwaist,しゃつぶらうす
shuffling,しゃっふりんぐ
shuffle,しゃっふる
hat (fre: chapeau),しゃっぽ
to take one's hat off,しゃっぽをぬぐ
shadow,しゃどう
shadowing,しゃどぅいんぐ
shadowing,しゃどういんぐ
shadow mask,しゃどうますく
shadow map,しゃどうまっぷ
shadow Random Access Memory,しゃどうらむ
castle (fre: chateau),しゃとー
shadow,しゃどー
shadowing,しゃどーいんぐ
shadow cabinet,しゃどーきゃびねっと
shadow stripe,しゃどーすとらいぷ
shadow pitching,しゃどーぴっちんぐ
shadow price,しゃどーぷらいす
chateaubriand,しゃとーぶりあん
shadowboxing,しゃどーぼくしんぐ
shadow mask,しゃどーますく
shadow work,しゃどーわーく
chateau wine,しゃとーわいん
JADMA,じゃどま
shuttle,しゃとる
chartreuse,しゃとるーず
shuttle diplomacy,しゃとるがいこう
shuttlecock,しゃとるこっく
shuttle bus,しゃとるばす
shuttle loop,しゃとるるーぷ
January,じゃにゅありー
Janet,じゃねっと
young women completely outfitted in Chanel clothing and accessories (和製: Chaneler),しゃねらー
Chanel (name),しゃねる
dwarf mondo grass (Ophiopogon japonicus),じゃのひげ
satyrid (any butterfly of subfamily Satyrinae, esp. the dryad, Minois dryas),じゃのめちょう
grayling,じゃのめちょう
shannon's low,しゃのんのりろん
Java,じゃば
jabber,じゃば
jabber,じゃばー
JavaWebServer,じゃばうぇぶさーば
JavaOS,じゃばおーえす
JavaServer,じゃばさーば
JavaScript,じゃばすくりぷと
JavaStation,じゃばすてーしょん
jabber control,じゃばせいぎょ
JavaSoft,じゃばそふと
Java2,じゃばつー
Japanese (people, language),じゃぱにーず
Japanese English,じゃぱにーずいんぐりっしゅ
Japanese smile,じゃぱにーずすまいる
Japanese management,じゃぱにーずまねーじめんと
Japanimation,じゃぱにめーしょん
Japanesque,じゃぱねすく
Japanology,じゃぱのろじー
Japanologist,じゃぱのろじすと
JavaBeans,じゃばびーんず
JavaWorkshop,じゃばわーくしょっぷ
Japan,じゃぱん
Japan Cup,じゃぱんかっぷ
Japan shift,じゃぱんしふと
Japan Society,じゃぱんそさえてぃー
Japan Times (newspaper),じゃぱんたいむず
Japan bashing,じゃぱんばっしんぐ
Japan Foundation,じゃぱんふぁうんでーしょん
shabbiness,しゃびー
shabby,しゃびー
shahid (ara: shid),しゃひーど
shaheed,しゃひーど
Muslim martyr,しゃひーど
stimulant,しゃぶ
pep-pill,しゃぶ
upper,しゃぶ
speed,しゃぶ
jab (esp. in boxing),じゃぶ
shaft,しゃふと
Japlish (Japanese English),じゃぷりっしゅ
javelin,じゃべりん
shovel,しゃべる
chaperon,しゃぺろん
hat (fre: chapeau),しゃぽー
cactus (por: sabao),しゃぼてん
Japonica,じゃぽにか
Japonisme,じゃぽにすむ
Japonaiserie,じゃぽねずり
soap (por: sabao),しゃぼん
soap bubble,しゃぼんだま
jammer,じゃまー
Jamaica,じゃまいか
shamanism,しゃまにずむ
shaman,しゃまん
lingulate brachiopod (esp. species Lingula anatina),しゃみせんがい
jamming,じゃみんぐ
Siam,しゃむ
jam,じゃむ
Siamese (language),しゃむご
jam signal,じゃむしんごう
jam session,じゃむせっしょん
Siamese twins,しゃむそうせいじ
Siamese cat,しゃむねこ
jam bun (和製: jam pan (bread)),じゃむぱん
to jam,じゃむる
chamois (Rupicapra rupicapra),しゃもあ
chamotte brick,しゃもっとれんが
Japan unique process,じゃゆぷろ
jingling,じゃらじゃら
jangling,じゃらじゃら
clinking,じゃらじゃら
chinking,じゃらじゃら
lasciviously,じゃらじゃら
coquettishly,じゃらじゃら
sharia (ara: sariya),しゃりーあ
shariah,しゃりーあ
shariat,しゃりーあ
Islamic canonical law,しゃりーあ
shearing,しゃりんぐ
cropping,しゃりんぐ
chartreuse,しゃるとるーず
JAL PAK (JAL tourist package),じゃるぱっく
charming (fre: charmant),しゃるまん
charm (fre: charme),しゃるむ
Charles' law,しゃるるのほうそく
Charles's law,しゃるるのほうそく
Charlotte,しゃるろっと
shalwar,しゃるわーる
joke,しゃれ
pun,しゃれ
witticism,しゃれ
smartly dressed,しゃれ
stylish,しゃれ
fashion-conscious,しゃれ
refined,しゃれ
charade,しゃれーど
shallot,しゃろっと
Java,じゃわ
java (coffee),じゃわ
shower,しゃわー
shower curtain,しゃわーかーてん
shower cap,しゃわーきゃっぷ
shower effect (theory that placing high-selling items on the upper floors of a department store will lead to increased sales in the lower floors),しゃわーこうか
Javanese (language),じゃわご
Javan rhinoceros (Rhinoceros sondaicus),じゃわさい
Javan rhinoceros (Rhinoceros sondaicus),じゃわさい
beautiful (ger: schoen),しゃん
beautiful woman (ger: schoen),しやん
junkie,じゃんきー
shank,しゃんく
junk,じゃんく
junk art,じゃんくあーと
junk accessories,じゃんくあくせさりー
junk bond,じゃんくさい
junk bonds,じゃんくさい
junction,じゃんくしょん
system interchange (between highways),じゃんくしょん
junk DNA,じゃんくでぃーえぬえー
junk food,じゃんくふーど
junk bond,じゃんくぼんど
junk e-mail,じゃんくめーる
Shangri-la,しゃんぐりら
jungle,じゃんぐる
jungle-gym,じゃんぐるじむ
junket,じゃんけっと
Janjaweed (militia in Sudan),じゃんじゃうぃーど
Jansenism,じゃんせにすむ
Jansenism,じゃんせにずむ
Champs Elysees (in Paris),しゃんぜりぜ
chansonnier,しゃんそにえ
chanson,しゃんそん
JWNTUG,じゃんたぐ
gendarme,じゃんだるむ
ski jump (Schanze) (ger: Schanze),しゃんつぇ
Chantilly (e.g. lace),しゃんてぃー
chandelier,しゃんでりあ
shunt,しゃんと
jumper,じゃんぱ
jacket,じゃんぱー
jumper,じゃんぱー
jumper (skirt),じゃんぱーすかーと
champagne,しゃんぱーにゅ
strapping option,じゃんぱおぷしょん
jumper option,じゃんぱおぷしょん
jumper switch,じゃんぱすいっち
jumper selectable,じゃんぱせんたくかのう
jumper pin,じゃんぱぴん
jumper plug,じゃんぱぷらぐ
jumper-free,じゃんぱふりー
jumper block,じゃんぱぶろっく
jumper post,じゃんぱぽすと
jambalaya,じゃんばらいや
jambalaya,じゃんばらや
champagne,しゃんぱん
champagne flute,しゃんぱんぐらす
champagne glass,しゃんぱんぐらす
champignon,しゃんぴにおん
champignon,しゃんぴにょん
jumping,じゃんぴんぐ
jump,じゃんぷ
shampoo,しゃんぷー
ski jumping,じゃんぷきょうぎ
jumpsuit,じゃんぷすーつ
jump blues,じゃんぷぶるーす
jump ball,じゃんぷぼーる
chambray,しゃんぶれー
champagne,しゃんぺん
champagne cider,しゃんぺんさいだー
jumbo,じゃんぼ
jumbo jet,じゃんぼき
jumbo-size,じゃんぼさいず
jumbo-jet,じゃんぼじぇっと
jumbo-jet,じゃんぼじぇっとき
jamboree,じゃんぼりー
genre,じゃんる
sure,しゅあ
jus,じゅー
Jew,じゅー
chevalier,しゅヴぁりえ
Hodgson's hawk-cuckoo (Cuculus fugax),じゅういち
Begonia evansiana,しゅうかいどう
juke-box,じゅーくぼっくす
chou a la creme,しゅーくりーむ
cream-filled pastry,しゅーくりーむ
juicer,じゅーさー
juicy (having lots of juice or liquid),じゅーしー
Bengalese finch,じゅうしまつ
society finch (Lonchura striata var. domestica),じゅうしまつ
shoeshine,しゅーしゃいん
hiss,しゅーしゅー
fizz,しゅーしゅー
woosh,しゅーしゅー
swish,しゅーしゅー
whiz,しゅーしゅー
shoes,しゅーず
juice,じゅーす
soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated),じゅーす
deuce,じゅーす
Jew's harp,じゅーずはーぷ
shooter,しゅーたー
chute,しゅーたー
shoetree,しゅーつりー
shooting game,しゅーてぃんぐげーむ
shooting script,しゅーてぃんぐすくりぷと
shoot,しゅーと
chute,しゅーと
jute,じゅーと
shoot ball (baseball),しゅーとぼーる
shooter,しゅーとぼーる
screwball,しゅーとぼーる
Schubert,しゅーべると
shoehorn,しゅーほーん
steamed meat dumpling (chi: shao-mai),しゅーまい
jewelry,じゅーりー
surreal (fre: sur),しゅーる
surrealism,しゅーる
joule,じゅーる
Joule's law,じゅーるのほうそく
surrealist,しゅーるれありすと
surrealism,しゅーるれありすむ
surrealism,しゅーるれありずむ
June,じゅーん
June bride,じゅーんぶらいど
jewelry,じゅえりー
jewellery,じゅえりー
jewel,じゅえる
sugar,しゅがー
sugar cut,しゅがーかっと
sugar coat,しゅがーこーと
sugar shack,しゅがーしゃっく
sugar bowl,しゅがーぼうる
sugarless,しゅがーれす
Juglar cycle,じゅぐらーのさいくる
dugong,じゅごん
scrunchie,しゅしゅ
hair tie covered in fabric,しゅしゅ
juju music,じゅじゅみゅーじっく
Prunus persica var. densa (Chinese variety of peach),じゅせいとう
Stasi (Staatssicherheitsdienst, state security service of East Germany),しゅたーじ
Steiner school,しゅたいなーがっこう
Stemmkristiania (crystal),しゅてむくりすちゃにあ
stem turn in skiing (ger: Stemmbogen),しゅてむぼーげん
jute,じゅと
Sturm und Drang,しゅとぅるむうんとどらんぐ
schnauzer (ger: Schnauzer),しゅなうつぁー
liquor (ger: Schnaps),しゅなっぷす
junior,じゅにあ
junior welter (weight),じゅにあうえるたー
junior welterweight,じゅにあうえるたーきゅう
junior college,じゅにあかれっじ
junior style,じゅにあすたいる
junior team,じゅにあちーむ
junior high school,じゅにあはいすくーる
junior bantamweight,じゅにあばんたむきゅう
junior feather (weight),じゅにあふぇざー
junior featherweight,じゅにあふぇざーきゅう
junior fly (weight),じゅにあふらい
junior flyweight,じゅにあふらいきゅう
junior heavyweight,じゅにあへびーきゅう
junior board of directors,じゅにあぼーど
junior board of directors systems,じゅにあぼーどしすてむ
junior middle (weight),じゅにあみどる
junior middleweight,じゅにあみどるきゅう
junior light (weight),じゅにあらいと
junior lightweight,じゅにあらいときゅう
Geneva,じゅねーぶ
Geneva Conference on Disarmament,じゅねーぶぐんしゅくかいぎ
Geneva Convention,じゅねーぶじょうやく
JUNET,じゅねっと
Juno (Roman goddess),じゅのー
snorkeling,しゅのーけりんぐ
snorkel,しゅのーける
white stork (Ciconia ciconia),しゅばしこう
Jupiter,じゅぴたー
jubilee,じゅびりー
trace (e.g. from skis) (ger: Spur),しゅぷーる
speaking in chorus, unison (ger: Sprechchor),しゅぷれっひこーる
speaking in chorus, unison (ger: Sprechchor),しゅぷれひこーる
suprematism,しゅぷれまてぃすむ
suprematism,しゅぷれまてぃずむ
spaetzle,しゅぺっつれ
juvenile,じゅべないる
superiority complex,しゅぺりおりてぃーこんぷれっくす
sound like a steam engine,しゅぽしゅぽ
chemise,しゅみーず
Schmidt camera,しゅみっとかめら
chimney (narrow cleft used to climb a rock face) (fre: chimnee),しゅみね
simulation,しゅみれーしょん
Sumerian (language),しゅめーるご
Sumerian (person),しゅめーるじん
hammerhead shark,しゅもくざめ
sleeping bag (ger: Schlafsack),しゅらーふ
sleeping bag (ger: Schlafsack),しゅらーふざっく
July,じゅらい
Jurassic Period,じゅらき
Jurassic,じゅらき
Brazilian barbecue (por: churrasco),しゅらすこ
sleeping bag (ger: Schlafsack),しゅらふ
sleeping bag (ger: Schlafsack),しゅらふざっく
duralumin,じゅらるみん
jury,じゅりー
shrimp,しゅりんぷ
whizzing,じゅるじゅる
going by quickly,じゅるじゅる
schrund (crevasse, esp. a bergschrund, a crevasse near the head of a glacier),しゅるんと
Schlegel's green tree frog (Rhacophorus schlegelii),しゅれーげるあおがえる
Schlegel's green tree frog (Rhacophorus schlegelii),しゅれーげるあおがえる
Schrodinger's cat (quantum mechanics thought experiment),しゅれーでぃんがーのねこ
Schroedinger equation,しゅれーでぃんがーほうていしき
shredder,しゅれっだ
shredder,しゅれっだー
Chinese windmill palm (Trachycarpus fortunei),しゅろ
Chusan palm,しゅろ
hemp palm,しゅろ
Rhapis humilis,しゅろちく
rhapis,しゅろちく
Schwann cell,しゅわんさいぼう
whistling (e.g. of a kettle),しゅんしゅん
noble orchid (Cymbidium goeringii),しゅんらん
Junlon (synthetic fibre, fiber),じゅんろん
joy,じょい
JOIS,じょいす
joy stick,じょいすてぃっく
joist,じょいすと
joypad,じょいぱっど
joyful,じょいふる
join,じょいん
joint,じょいんと
joint concert,じょいんとこんさーと
joint venture,じょいんとべんちゃー
JV,じょいんとべんちゃー
show,しょう
ginger (Zingiber officinale),しょうが
Takifugu snyderi (species of pufferfish),しょうさいふぐ
Mexican fireplant (species of poinsettia, Euphorbia heterophylla),しょうじょうそう
fruit fly (any insect of family Drosophilidae),しょうじょうばえ
vinegar fly,しょうじょうばえ
pomace fly,しょうじょうばえ
banana fly,しょうじょうばえ
show time,しょうたいむ
less-than mark (<),しょうなり
left angle bracket,しょうなり
Daurian redstart (species of passerine bird, Phoenicurus auroreus),じょうびたき
Oriental longheaded locust (Acrida cinerea),しょうりょうばった
Gonista bicolor (species of grasshopper resembling the Oriental longheaded locust),しょうりょうばったもどき
showroom,しょうるーむ
show,しょー
joe,じょー
jaw,じょー
chauvinisme,しょーヴぃにすむ
display (show) window,しょーうぃんどう
display (show) window,しょーうぃんどー
display (show) window,しょーういんどー
joker,じょーかー
show girl,しょーがーる
joke,じょーく
jaw crusher,じょーくらっしゃー
showcase,しょーけーす
jaws (film title),じょーず
georgette,じょーぜっと
shordarvision,しょーだーびじょん
shore radar television,しょーだーびじょん
shorts,しょーつ
short (e.g. a circuit),しょーと
short stop (baseball),しょーと
short iron (golf),しょーとあいあん
short order,しょーとおーだー
short cut,しょーとかっと
shortcut key,しょーとかっときー
shortcake,しょーとけーき
skit,しょーとこんと
short comic play,しょーとこんと
short circuit,しょーとさーきっと
short-circuit appeal,しょーとさーきっとあぴーる
short short (story),しょーとしょーと
short skirt,しょーとすかーと
short ski,しょーとすきー
short-scale,しょーとすけーる
short stay,しょーとすてい
temporary care,しょーとすてい
short story,しょーとすとーりー
shortstop,しょーとすとっぷ
short time,しょーとたいむ
short track,しょーととらっく
short drink (martini, gimlet, etc.),しょーとどりんく
short ton,しょーととん
shortening,しょーとにんぐ
short bound,しょーとばうんど
short pass (soccer),しょーとぱす
short pants,しょーとぱんつ
shorts,しょーとぱんつ
shorthand,しょーとはんど
short punt,しょーとぱんと
short pin,しょーとぴん
short plug,しょーとぷらぐ
short program,しょーとぷろぐらむ
short hair,しょーとへあ
short hair,しょーとへあー
short hole (golf),しょーとほーる
short mail,しょーとめーる
line drive to the shortstop (baseball),しょーとらいなー
short relief,しょーとりりーふ
show business,しょーびじねす
show biz,しょーびず
chauvinist,しょーびにすと
chauvinism,しょーびにすむ
chauvinism,しょーびにずむ
shofar,しょーふぁー
showboat,しょーぼーと
jawboning,じょーぼにんぐ
showman,しょーまん
showmanship,しょーまんしっぷ
shawm,しょーむ
shoran,しょーらん
short-range navigation aid,しょーらん
shawl,しょーる
showroom,しょーるーむ
shawl collar,しょーるからー
weeping (por: choro),しょーろ
crying,しょーろ
jogger,じょがー
jogging,じょぎんぐ
jogging shoes,じょぎんぐしゅーず
jogging pants,じょぎんぐぱんつ
jog,じょぐ
giocoso,じょこーそ
chocolate,しょこら
Josephson,じょせふそん
Josephson effect,じょせふそんこうか
Josephson junction,じょせふそんせつごう
Josephson device,じょせふそんそし
Shoutarou complex (obsession with young boys),しょたこん
shocker,しょっかー
beer mug,じょっき
stein,じょっき
tankard,じょっき
jockey,じょっき
beer mug,じょっきー
stein,じょっきー
tankard,じょっきー
jockey,じょっきー
shocking,しょっきんぐ
jogging,じょっぎんぐ
shocking pink,しょっきんぐぴんく
shock,しょっく
shock absorber,しょっくあぶそーば
shock absorber,しょっくあぶそーばー
shockwave,しょっくうぇいぶ
ShockWave,しょっくうぇーぶ
death due to shock (triggered by blood loss, heart failure or other causes),しょっくし
shock theory,しょっくせおりー
shock therapy,しょっくりょうほう
shock treatment,しょっくりょうほう
shot (in films),しょっと
shot (of alcohol),しょっと
hitting a ball (e.g. in tennis),しょっと
shoot (in basketball),しょっと
shotgun,しょっとがん
shotgun wedding,しょっとがんうぇでぃんぐ
shotgun formation,しょっとがんふぉーめーしょん
shotgun bride,しょっとがんぶらいど
shotgun marriage,しょっとがんまりっじ
Schottky diode,しょっときーだいおーど
shot glass,しょっとぐらす
shot bar,しょっとばー
quickie bar,しょっとばー
jodhpurs,じょっぱーず
riding breeches,じょっぱーず
shopping,しょっぴっんぐ
shopping,しょっぴんぐ
shopping cart,しょっぴんぐかーと
shopping street,しょっぴんぐがい
shopping district,しょっぴんぐがい
shopping centre,しょっぴんぐせんたー
shopping center,しょっぴんぐせんたー
mall,しょっぴんぐせんたー
shopping bag,しょっぴんぐばっぐ
shopping bag lady,しょっぴんぐばっぐれでぃー
shopping mall,しょっぴんぐもーる
shop,しょっぷ
shopgirl,しょっぷがーる
jodhpurs,じょどぱーず
Chopin,しょぱん
job,じょぶ
shop in shop,しょぷいんしょっぷ
Job Entry System,じょぶえんとりしすてむ
job enlargement,じょぶえんらーじめんと
job enrichment,じょぶえんりっちめんと
job object,じょぶおぶじぇくと
backup file,じょぶかいふくせいぎょふぁいる
job-recovery control file,じょぶかいふくせいぎょふぁいる
job queue,じょぶきゅー
job private area,じょぶこゆうりょういき
job scheduler,じょぶすけじゅーら
job stream,じょぶすとりーむ
job control,じょぶせいぎょ
Job Control Language,じょぶせいぎょげんご
JCL,じょぶせいぎょげんご
job title,じょぶたいとる
job type,じょぶたいぷ
job stream,じょぶのながれ
run stream,じょぶのながれ
input stream,じょぶのながれ
job number,じょぶばんごう
jobhopper,じょぶほっぱー
job menu,じょぶめにゅー
job rotation,じょぶろーてーしょん
shovel,しょべる
digger (和製: shovel car),しょべるかー
shovel loader,しょべるろーだー
Jolly Rodger,じょりーろじゃー
pirate skull-and-crossbones flag,じょりーろじゃー
shoulder,しょるだー
shoulder bag,しょるだーばっぐ
shoulder pad,しょるだーぱっど
shoulder bacon,しょるだーべーこん
Nephila clavata (an Oriental species of golden orb-weaving spider),じょろうぐも
Argiope amoena (an Oriental species of orb-weaving spider),じょろうぐも
wasp spider (Argiope bruennichi),じょろうぐも
John,じょん
John Travolta,じょんとら
John Bull,じょんぶる
SL lat,しらー
scilla,しらー
Syrah,しらー
quercus myrsinifolia,しらかし
bamboo Leaved Oak,しらかし
quercus myrsinaefolia,しらかし
Japanese white birch (Betula platyphylla var. japonica),しらかば
Japanese white birch (Betula platyphylla var. japonica),しらかんば
Eurasian collared dove (Streptopelia decaocto),しらこばと
collared dove,しらこばと
shirasu (white pumiceous soil of southern Kyushu),しらす
white-flowered camellia,しらたまつばき
Camellia japonica var.,しらたまつばき
syrup,しらっぷ
syllabus,しらばす
Veitch's silver fir (Abies veitchii),しらびそ
giraffe,じらふ
syllable,しらぶる
Veitch's silver fir (Abies veitchii),しらべ
louse fly (any fly of family Hippoboscidae),しらみばえ
silane,しらん
Syria,しりあ
scorpionfly (esp. the Japanese scorpionfly, Panorpa japonica),しりあげむし
scorpion fly,しりあげむし
serious,しりあす
serious drama,しりあすどらま
serialize,しりあらいず
serialise,しりあらいず
serial,しりある
cereal,しりある
serial EEPROM,しりあるいーいーぷろむ
serial interface,しりあるいんたーふぇいす
serial interface,しりあるいんたーふぇーす
serial interface,しりあるいんたふぇーす
Serial AT Attachment,しりあるえーてぃーえー
serial AT Attachment 2,しりあるえーてぃーえーあいあい
serial connector,しりあるこねくた
serial connection,しりあるせつぞく
serial communication,しりあるつうしん
serial device,しりあるでばいす
serial transfer,しりあるてんそう
serial transmission,しりあるでんそう
serial trackball,しりあるとらっくぼーる
serial number,しりあるなんばー
serial number,しりあるばんごう
character printer,しりあるぷりんた
serial printer,しりあるぷりんた
serial printer,しりあるぷりんたー
serial pointing device,しりあるぽいんてぃんぐでばいす
serial port,しりあるぽーと
serial mouse,しりあるまうす
Serial Line Internet Protocol,しりあるらいんいんたーねっとぷろとこる
SLIP,しりあるらいんいんたーねっとぷろとこる
series,しりーず
series regulator,しりーずれぎゅれーた
Sirius,しりうす
silica,しりか
silica glass,しりかがらす
silica gel,しりかげる
silica tile,しりかたいる
silicone,しりこーん
silicone rubber,しりこーんごむ
silicone resin,しりこーんじゅし
silicone oil,しりこーんゆ
silicon,しりこん
silicone (oxidized form),しりこん
Silicon Island (Kyuushu's Silicon Valley),しりこんあいらんど
silicon wafer,しりこんうぇは
silicon wafer,しりこんうえは
silicon carbide (fiber, fibre),しりこんかーばいど
Silicon Graphics, Inc.,しりこんぐらふぃっくす
SGI,しりこんぐらふぃっくす
silicon disk,しりこんでぃすく
Silicon Valley,しりこんばれー
silicon polymer,しりこんぽりまー
ground squirrel (esp. a ground squirrel of North America or Africa),じりす
Japanese spineless cuttlefish (Sepiella japonica),しりやけいか
shilling,しりんぐ
schilling (ger: Schilling),しりんぐ
syringe,しりんじ
cylinder,しりんだ
cylinder,しりんだー
cylinder oil,しりんだーおいる
cylinder lock,しりんだーじょう
gill,じる
zel,じる
zill,じる
Shirvanshah,しるヴぁんしゃー
Sylvia,しるヴぃあ
silhouetter,しるえったー
silhouette,しるえっと
zircaloy,じるかろい
silky,しるきー
silk,しるく
Symbolic LinK format,しるくけいしき
silk screen,しるくすくりーん
silk-screen printing,しるくすくりーんいんさつ
silk hat,しるくはっと
Silk Road,しるくろーど
Silket,しるけっと
zirconia,じるこにあ
zirconium (Zr),じるこにうむ
zircon,じるこん
circumflex,しるこんふれっくす
yellow-bellied sapsucker (Sphyrapicus varius),しるすいきつつき
silt,しると
siltstone,しるとがん
jitterbug,じるば
silver,しるばー
Silver Week (any long string of Japanese public holidays other than Golden Week),しるばーうぃーく
silver wedding,しるばーうぇでぃんぐ
old age (和製: silver age),しるばーえいじ
Silver-On-Line,しるばーおんらいん
silver gray,しるばーぐれい
silver gray,しるばーぐれー
silver grey,しるばーぐれー
seat for seniors and handicapped (和製: silver seat),しるばーしーと
silver single,しるばーしんぐる
silver fox,しるばーふぉっくす
silver plan,しるばーぷらん
silver volunteer,しるばーぼらんてぃあ
silver phone,しるばーほん
silver market,しるばーまーけっと
sylph,しるふ
Gilbert's Syndrome,じるべーるしょうこうぐん
lens-cleaning paper,しるぼんし
aluminium and sicilicum alloy (ger: Silumin),しるみん
Silurian period,しるりあき
Silurian period,しるるき
vest (fre: gilet),じれー
waistcoat,じれー
cardigan,じれー
dilettante,じれったんと
dilemma,じれんま
web-spinner (any insect of order Embioptera, esp. family Oligotomidae),しろありもどき
shiroonitake,しろおにたけ
false virgin's lepidella,しろおにたけ
Amanita virgineoides Bas,しろおにたけ
white mustard (Sinapis alba),しろがらし
Japanese whiting (Sillago japonica),しろぎす
white peafowl (white variety of Indian peafowl),しろくじゃく
white croaker (Pennahia argentata),しろぐち
polar bear,しろくま
white rhinoceros (Ceratotherium simum),しろさい
psilocybin,しろしびん
type of chrysanthemum (white leafed) (senecio cineria),しろたえぎく
any butterfly of family Pieridae (inc. the white butterflies and the sulfur butterflies),しろちょう
